code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
PY-RUC,"The Registro Único del Contribuyente (RUC) is the unique taxpayer registry that maintains the personal, non-transferable, identification number for all those physical persons (national or foreign) and legal entities (for-profit and non-profit) that carry out economic activities in the Paraguayan territory. 

The identification number is created primarily for tax purposes.",,True,"80013889-9, 80007525-0, 80005190-4",Search for organisations by name and use the 'RUC' number returned by the system.,es,The online interface http://www.ruc.com.py/ allows free searches of the RUC database to be performed.,http://www.ruc.com.py/,True,PY,csv,"The registry can be downloaded from separate files (zipped text format) located at http://www.set.gov.py/portal/PARAGUAY-SET/InformesPeriodicos?folder-id=repository:collaboration:/sites/PARAGUAY-SET/categories/SET/Informes%20Periodicos/listado-de-ruc-con-sus-equivalencias

To then use the identifer as they are presented on http://www.ruc.com.py/, one must combine the numbers in the first and the third columns,e.g 80013889 and 9 to make '80013889-9'

The licence is unknown.",registration_number,License unknown.,no_license,False,,,,primary,2018-02-02,Request via github https://github.com/org-id/register/issues/180,"Unique Taxpayer Registry, Paraguay",Registro Único de Contribuyente del Paraguay,81,,,1,,,,,,,5,,,75,,,,,"company, charity, trust, government_agency",,http://www.hacienda.gov.py/web-hacienda/index.php?c=77
CA_AB-ABT,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Corporate Registry Office , Bureau d'enregistrement des sociétés,75,,,,,,,,,0,,,,75,,,,,company,CA-AB,http://www.servicealberta.ca/Corporate_Registry.cfm
AE-ACCI,There are 2 types of search available: Commercial search and Industrial search. You can also use an online enquiry form to find the required information. The contact details of Ajman Chamber and the heads of its sectors are also available.,,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ajman Chamber of Commerce and Industry,غرفة تجارة وصناعة عجمان,75,,,,,,,,,,,,,75,,,,,company,AE-AJ,https://www.ajmanchamber.ae/en/Pages/default.aspx
BE-GTCF,"'The Registry of the Francophone Brussels Commercial Court' does not appear to be an organisation registration agency.

The one identifier we have found in use for this list appears to be derived instead from the BE-BCE_KBO register. ",,False,,,,,,True,BE,,,,,,True,,,,deprecated,,,Au Greffe du Tribunal de Commerce Francophone de Bruxelles,,0,,,,,,,,,,,,,,,,,,,,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm
AT-FB,Available only in German. Access can be obtained by using services of special companies like http://www.advokat.at/Advokat-Online/Module/Firmenbuch.aspx that are entitled to provide it (for full list see https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html),,True,,,de,"The query of the company book is subject to a charge. Charges are billed via the billing agencies commissioned by the Federal Ministry of Justice, in which the customer must obtain an access authorization or an ""account"".
The fees for the inquiry are governed by the tariff post 10 Z IV Court Fees Act (GGG), whereby the clearing offices may charge a surcharge to be approved by the Federal Minister of Justice in addition to the fees stated there.",,True,AT,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,Austria Company Register,Firmenbuch,75,,,,,,,,,,,,,75,,,,,company,,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html
KG-OKPO,"The Ministry of Justice of the Republic of Kyrgyz maintains the register of legal entities. It contains  entries for many kinds of organizations, including:

* Companies
* Partnerships
* Co-operatives
* Trade unions
* Local and state enterprises
* Joint ventures
* Small businesses
* Political Parties
* Credit unions

This list references the (National Classifier of Businesses and Organisations) OKPO codes scheme.",,True,"29693656, 22383800","To find an OKPO code you will need to know one of company name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'). A search for one of these will return a link to the full company details, which includes the OKPO code","ky, ru","Company can be searched by its name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'), OKPO code ('Код ОКПО', assigned to each legal entity for statistics purposes). Additional search criteria exist for company status ('Статус'), registration date ('Дата') etc.  

Search is free-of-charge, no English interface.",http://register.minjust.gov.kg/register/SearchAction.seam,True,KG,data_not_available,,,,,False,,,,primary,2019-01-29, ProZorro Business Register Research,Electronic database of legal entities and branches (Krygyzstan) OKPO codes,"Юридикалык жактардын, филиалдардын электрондук базасы Код ОКПО",75,,,,,,,,,,,,,75,,,,,"company, charity, company/limited_company, company/mutual, company/partnership, government_agency",,http://register.minjust.gov.kg/register/SearchAction.seam
XR-NUTS,"The European Union's Nomenclature of Territorial Units for Statistics (NUTS) provides codes for territorial areas at a number of different levels.

Where no primary identifiers for regional and local government entities are available, then NUTS level 2 and 3 codes, and Local Administrative Unit (LAU 1 and LAU 2 level) codes could be used as a proxy for the primary local government body responsible for that area. 

EuroStat currently maintain a cross-walk between different levels, codes and area names for each jurisdiction. 

To construct an identifier:

For NUTS 2 and 3 codes, use the prefix (XR-NUTS-) and then the NUTS code provided.

For LAU1 and 2 codes (Local authority/ward), use the prefix (XR-NUTS-), the country prefix and underscore (e.g. UK_) , and then the LAU_NAT_Code provided (e.g. E05004874)

For example: XR-NUTS-UK_E07000105


",,False,,,,,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units,True,"HR, PT, AT, SK, NL, MT, ES, LT, GR, IE, EE, CY, CZ, FI, DE, LV, GB, SI, BG, SE, FR, HU, PL, LU, BE, IT, RO",,,,,,,,,,secondary,,Primary research,NUTS - European Union Nomenclature of Territorial Units for Statistics,,50,,,,,,,,,,,,,,50,,,,"government_agency/local_government, government_agency",,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units
AR-CUIT,"Any citizen or company starting an economic activity in Argentina must register with the AFIP (Federal Administration of Public Revenues) and receive a Unique Tax Identification Code (CUIT). 

This is an 11 digit number, consisting two digits, hyphen, nine digits, and a one digit checksum. 
",,,"30-69330706-2, 30-70737344-6",Use a third-party service to search for identifiers. Identifiers can be verified at http://www.afip.gob.ar/futCont/,es,Third party search services such as https://www.dateas.com/es/consulta_cuit_cuil exist and provide name based search of CUIT (tax identifier) and CUIL (labour identifier).,http://www.afip.gob.ar/futCont/,True,AR,,,"industry_classifications, status",,no_license,False,,,,secondary,2017-06-26,Open Contracting,Unique Tax Identification Code (Argentina),Clave Única Identificación Tributaria (Argentina),55,,,,,,,,,,5,,,,50,,,,"company, unincorporated_body",,
CA-GOV,"""The dataset includes a list of legal department names and their respective numbers. The department number is assigned by the Receiver General to an organization listed in Schedules I, 1.1 and II of the Financial Administration Act authorized to use the Consolidated Revenue Fund and interface with the central systems operated by Public Works and Government Services Canada.""",,True,"001, 097, 124","Identifiers are in the ""Department_number-Ministère_numéro"" column in the downloadable spreadsheet.","en, fr",CSV and Excel versions of the list are available for download. ,http://open.canada.ca/data/en/dataset/22090865-f8a6-4b83-9bad-e9d61f26a821,True,CA,"bulk, csv, excel",,,Open Government Licence - Canada,open_license,False,,,,secondary,2017-11-28,http://open.canada.ca/,List of legal department names (Government of Canada),Liste d’appellation légale des ministères ,64,,2,1,1,,,,,,,10,,,50,,,,government_agency,,http://open.canada.ca/data/en/dataset/22090865-f8a6-4b83-9bad-e9d61f26a821
IT-CF,"Companies (and some other entities) in Italy must register with the Business Register of the Chambers of Commerce. 

They are assigned a Codice Fiscale (CF) or Tax Code which also acts as their Partitia IVA (P.IVA) or VAT Number. 

Entities may also be assigned an Economic and Administrative Directory (REA) identifier.",,True,"80078410588, 91016940925","The identifier to use along with the IT-CF code is reported as the 'Codice Fiscale' ('CF') and often as the 'Partitia IVA' ('P.IVA'). Some organisations will publish this number on their websites. Check the Business Register or, for NGOs, the AICS register http://www.aics.gov.it/?page_id=7286","it, en","An online search allows the existence of a company to be confirmed. To access identifiers requires registration, and the payment of a small fee to conduct a search that will return identifiers. 

The Italian Agency for Development Cooperation (Agenzia Italiana per la Cooperazione allo Sviluppo or 'AICS') maintain a list of civil society organisations ('Elenco CSO') registered with them. This includes those organsiations' names and CF/P.IVA as well as other information (address, website) which can be found here http://www.aics.gov.it/?page_id=7286. ",http://www.registroimprese.it/,True,IT,data_not_available,,,,closed_license,False,"IT-RI, IT-CR",,https://it.wikipedia.org/wiki/Codice_fiscale,primary,2017-09-15,Desk research,Italian Tax Code / VAT Number,Codice Fiscale (CF) / Partitia IVA (P.IVA),75,,,,,,,,,0,,,,75,,,,,"charity, company",,http://www.registroimprese.it/
